ABV;IBU;Rating;BrandAwareness;Style_ale;Style_lager;Style_hybrid
5.3;15,0;66.6;9399;1;0;0
4.5;;66.6;2045;0;1;0
9.1;103,0;82.2;123367;1;0;0
6.5;;82.1;419;1;0;0
6.6;25,0;;3282;1;0;0
6.9;65,0;77.0;19907;1;0;0
7.0;;73.8;11594;1;0;0
6.1;27,0;71.3;23599;1;0;0
7.1;;86.5;2259;1;0;0
5.9;10,0;71.3;20833;0;0;1
9.5;110,0;75.9;8948;1;0;0
7.4;;71.3;2529;1;0;0
8.2;72,0;78.4;141247;1;0;0
5.0;;58.7;5905;0;1;0
5.4;;61.0;15137;0;1;0
8.0;;85.2;572;1;0;0
5.2;12,0;74.7;40820;1;0;0
8.2;42,0;76.2;852;1;0;0
5.1;33,0;62.3;2581;0;1;0
4.3;15,0;66.1;7092;1;0;0
5.2;21,0;72.3;6170;1;0;0
5.0;;75.4;8932;1;0;0
11.0;31,0;80.5;14228;1;0;0
6.5;;67.9;2036;0;1;0
9.5;75,0;92.0;5326;1;0;0
5.4;;61.2;5183;1;0;0
10.1;;83.0;4137;1;0;0
;19,0;72.4;13409;1;0;0
9.0;37,0;76.3;4888;1;0;0
3.9;;75.0;9445;1;0;0
5.0;12,0;74.1;7607;1;0;0
7.3;;79.3;4026;1;0;0
11.0;;81.1;2940;1;0;0
2.9;30,0;72.8;13502;1;0;0
6.0;;75.0;104;1;0;0
3.2;;90.0;2661;1;0;0
6.0;;58.5;15696;1;0;0
6.0;;68.0;8676;1;0;0
5.4;40,0;63.6;1375;1;0;0
4.7;;54.8;211;1;0;0
4.6;;75.3;3233;1;0;0
5.5;25,0;76.6;7998;1;0;0
6.1;30,0;82.0;61467;1;0;0
9.2;;79.1;4582;1;0;0
6.0;;88.4;14153;1;0;0
7.2;65,0;81.1;6706;1;0;0
5.4;;68.1;4728;1;0;0
11.0;50,0;83.4;4739;1;0;0
6.9;100,0;84.4;6291;1;0;0
9.0;28,0;78.3;8540;1;0;0
10.0;;84.2;1446;1;0;0
6.2;50,0;74.6;1405;1;0;0
5.8;50,0;82.3;69937;1;0;0
8.2;;81.6;992;1;0;0
7.5;22,0;75.2;2704;1;0;0
9.5;;71.8;857;1;0;0
8.6;75,0;81.3;4296;1;0;0
5.2;;70.7;2256;0;1;0
6.0;;52.4;324;0;1;0
8.3;40,0;71.8;23750;1;0;0
7.0;60,0;79.4;19602;1;0;0
7.3;50,0;72.1;6344;1;0;0
6.9;;68.7;1072;1;0;0
5.2;;78.3;3902;1;0;0
5.0;;85.1;6067;1;0;0
5.0;27,0;67.9;8498;1;0;0
6.0;;84.0;5698;1;0;0
5.5;;55.8;5403;0;1;0
6.5;;74.9;8457;1;0;0
9.5;85,0;80.4;3071;1;0;0
3.5;;64.6;1728;1;0;0
9.4;148,0;88.6;2943;1;0;0
5.5;;75.5;10910;1;0;0
1.5;;59.0;23;1;0;0
11.0;;87.7;5942;1;0;0
8.0;;68.9;9161;1;0;0
6.6;;75.9;216;1;0;0
6.5;77,0;70.7;4090;1;0;0
9.5;;84.8;10848;1;0;0
9.0;;81.4;3558;1;0;0
7.5;30,0;83.2;21154;1;0;0
13.0;;76.5;3659;0;1;0
8.0;;87.3;1608;1;0;0
8.4;;76.7;5718;1;0;0
5.2;;67.3;12459;0;1;0
6.0;;74.0;15459;1;0;0
8.5;;69.2;9526;1;0;0
4.6;;67.3;4943;1;0;0
6.5;55,0;78.4;4996;1;0;0
6.2;;84.5;5833;1;0;0
11.0;;92.1;4639;1;0;0
10.5;;79.7;3813;1;0;0
3.7;;72.8;434;1;0;0
5.6;11,0;78.2;9632;1;0;0
8.3;;73.9;10258;1;0;0
6.0;67,0;64.1;9874;1;0;0
10.0;;80.0;3233;1;0;0
7.0;;69.7;3462;1;0;0
5.2;20,0;74.6;2973;1;0;0
7.0;;77.4;8659;1;0;0
5.0;;59.4;39859;0;1;0
10.0;75,0;81.6;10585;1;0;0
4.7;60,0;59.1;3166;1;0;0
5.7;37,0;73.5;3119;1;0;0
5.8;60,0;76.4;9810;1;0;0
5.2;;72.4;2224;1;0;0
5.1;;78.0;39959;1;0;0
6.9;55,0;72.0;24994;1;0;0
6.0;58,0;72.5;5820;1;0;0
5.3;;74.4;60256;1;0;0
5.8;37,0;85.4;108885;1;0;0
4.5;;;4;1;0;0
4.5;;73.7;8146;1;0;0
11.0;;70.2;461;1;0;0
5.2;;64.8;1898;0;1;0
5.6;50,0;68.5;5230;1;0;0
6.8;68,0;74.1;9630;1;0;0
7.5;30,0;71.9;5542;0;1;0
8.0;30,0;74.1;13246;1;0;0
7.1;70,0;76.7;7292;1;0;0
9.0;;71.6;384;1;0;0
4.73;;50.1;2031;0;1;0
9.6;23,0;74.9;5676;0;1;0
6.2;10,0;75.7;42839;1;0;0
5.5;;58.8;317;0;1;0
10.1;114,0;77.3;18549;1;0;0
11.2;60,0;89.6;1828;1;0;0
5.9;;74.1;864;1;0;0
8.1;;87.6;4934;1;0;0
8.0;37,0;69.6;18229;1;0;0
6.6;;69.2;9262;1;0;0
;;72.8;517;1;0;0
5.0;16,0;69.7;5775;0;1;0
4.0;;60.9;698;0;1;0
10.0;30,0;80.5;1485;1;0;0
6.0;;90.0;708;1;0;0
6.9;;77.4;4992;1;0;0
5.5;;65.2;1332;0;1;0
12.0;;77.8;18260;1;0;0
4.6;;74.1;60997;1;0;0
10.0;90,0;79.1;8078;1;0;0
9.5;119,0;81.6;4106;1;0;0
5.2;18,0;61.1;7212;1;0;0
12.0;25,0;73.1;20376;1;0;0
10.0;;80.6;19046;1;0;0
10.5;;89.9;1596;1;0;0
5.7;40,0;73.3;31092;1;0;0
5.8;16,0;48.9;19603;0;0;1
4.5;;64.8;9343;1;0;0
5.3;;68.3;4551;0;1;0
4.7;;55.7;174893;0;1;0
7.8;;73.9;15999;1;0;0
6.0;;68.2;76518;1;0;0
8.0;;76.0;2639;1;0;0
5.8;;73.7;9625;1;0;0
10.0;100,0;85.1;2757;1;0;0
10.0;;86.9;5092;1;0;0
9.5;20,0;75.1;14529;1;0;0
10.5;;87.5;494;1;0;0
6.1;32,0;69.0;7679;0;1;0
6.8;;76.3;24794;1;0;0
8.5;46,0;81.9;9456;1;0;0
8.0;50,0;88.5;10796;1;0;0
5.2;;68.4;11069;1;0;0
7.0;108,0;75.3;13282;1;0;0
5.9;;52.5;967;0;1;0
7.3;;73.6;1293;1;0;0
5.5;;69.2;6192;1;0;0
6.8;;81.3;4129;1;0;0
6.0;;64.8;34188;1;0;0
6.0;60,0;77.4;11939;1;0;0
4.9;;60.8;27445;0;1;0
6.9;16,0;79.9;18704;1;0;0
7.0;65,0;74.4;3491;1;0;0
13.0;;;8866;1;0;0
7.4;;76.1;490;1;0;0
